ѕродукт,"Ѕел, г","∆ир, г","”гл, г"," ал, ккал"
ћеланж €ичный,"
            12.7          ","
            11.5          ","
            0.7          ","
            157          "
ќмлет,"
            9.6          ","
            15.4          ","
            1.9          ","
            184          "
ќмлет из взбитых сливок,"
            6.4          ","
            14.8          ","
            26.2          ","
            257          "
ќмлет из €ичного порошка,"
            10.3          ","
            17.0          ","
            1.6          ","
            200          "
ќмлет с сыром,"
            16.3          ","
            29.7          ","
            2.6          ","
            342          "
яичница глазунь€,"
            11.9          ","
            17.3          ","
            0.7          ","
            215          "
яичный порошок,"
            46.0          ","
            37.3          ","
            4.5          ","
            542          "
яйцо гусиное,"
            13.9          ","
            13.3          ","
            1.4          ","
            185          "
яйцо индюшиное,"
            13.1          ","
            11.7          ","
            0.7          ","
            165          "
яйцо куриное,"
            12.7          ","
            10.9          ","
            0.7          ","
            157          "
яйцо куриное (белок сухой),"
            73.3          ","
            1.8          ","
            7.0          ","
            336          "
яйцо куриное (белок),"
            11.1          ","
            0.0          ","
            0.0          ","
            44          "
яйцо куриное (вареное в мешочек),"
            12.7          ","
            11.5          ","
            0.7          ","
            157          "
яйцо куриное (вареное вкрутую),"
            12.9          ","
            11.6          ","
            0.8          ","
            160          "
яйцо куриное (вареное всм€тку),"
            12.8          ","
            11.6          ","
            0.8          ","
            159          "
яйцо куриное (желток сухой),"
            34.2          ","
            52.2          ","
            4.4          ","
            623          "
яйцо куриное (желток),"
            16.2          ","
            31.2          ","
            1.0          ","
            352          "
яйцо куриное (пашот),"
            12.7          ","
            10.9          ","
            1.2          ","
            159          "
яйцо куриное маринованное,"
            11.0          ","
            10.0          ","
            0.0          ","
            148          "
яйцо перепелиное,"
            11.9          ","
            13.1          ","
            0.6          ","
            168          "
яйцо страусиное,"
            12.2          ","
            11.7          ","
            0.7          ","
            118          "
яйцо утиное,"
            13.3          ","
            14.5          ","
            0.1          ","
            185          "
яйцо цесариное,"
            12.7          ","
            0.6          ","
            0.0          ","
            45          "
яйцо черепашье,"
            10.0          ","
            12.0          ","
            0.8          ","
            155          "
